Localidade,GEOCODIGO,temp1,temp2,2007,2016,Aumento (%)
Brasil,0,"306136,0","796486,0",306136,796486,160.1733864
Norte,1,"19052,0","76662,0",19052,76662,302.3670813
Nordeste,2,"66831,0","232444,0",66831,232444,247.8049437
Sudeste,3,"140287,0","282733,0",140287,282733,101.5382641
Sul,4,"56466,0","136082,0",56466,136082,140.9956258
Centro-Oeste,5,"23500,0","68565,0",23500,68565,191.7577975
Rondônia,11,"2140,0","9628,0",2140,9628,349.7431107
Acre,12,"1292,0","7498,0",1292,7498,479.9690642
Amazonas,13,"1894,0","10380,0",1894,10380,447.8100264
Roraima,14,"525,0","2315,0",525,2315,340.3041825
Pará,15,"8607,0","32928,0",8607,32928,282.5394981
Amapá,16,"1136,0","4249,0",1136,4249,273.7906772
Tocantins,17,"3458,0","9664,0",3458,9664,179.4160162
Maranhão,21,"7651,0","28016,0",7651,28016,266.1395714
Piauí,22,"3272,0","13870,0",3272,13870,323.8007944
Ceará,23,"16537,0","43207,0",16537,43207,161.2649655
Rio Grande do Norte,24,"4561,0","15735,0",4561,15735,244.9364314
Paraíba,25,"5051,0","16752,0",5051,16752,231.6112431
Pernambuco,26,"6475,0","28309,0",6475,28309,337.1525633
Alagoas,27,"3199,0","16962,0",3199,16962,430.09375
Sergipe,28,"1337,0","7235,0",1337,7235,440.8071749
Bahia,29,"18748,0","62358,0",18748,62358,232.599072
Minas Gerais,31,"27987,0","83276,0",27987,83276,197.5453766
Espírito Santo,32,"6911,0","19527,0",6911,19527,182.5231481
Rio de Janeiro,33,"13859,0","44897,0",13859,44897,223.9393939
São Paulo,35,"91530,0","135033,0",91530,135033,47.52815986
Paraná,41,"29411,0","44460,0",29411,44460,51.16619067
Santa Catarina,42,"9596,0","26503,0",9596,26503,176.1696363
Rio Grande do Sul,43,"17459,0","65119,0",17459,65119,272.9667812
Mato Grosso do Sul,50,"4484,0","14510,0",4484,14510,223.5451505
Mato Grosso,51,"4018,0","14489,0",4018,14489,260.5374471
Goiás,52,"8889,0","27079,0",8889,27079,204.6119235
Distrito Federal,53,"6109,0","12487,0",6109,12487,104.386252
Alta Floresta d'Oeste,1100015,"7,0","126,0",7,126,1487.5
Ariquemes,1100023,"273,0","758,0",273,758,177.0072993
Cabixi,1100031,"7,0","45,0",7,45,475
Cacoal,1100049,"96,0","725,0",96,725,648.4536082
Cerejeiras,1100056,"23,0","79,0",23,79,233.3333333
Colorado do Oeste,1100064,"28,0","196,0",28,196,579.3103448
Corumbiara,1100072,"1,0","30,0",1,30,1450
Costa Marques,1100080,"11,0","121,0",11,121,916.6666667
Espigão d'Oeste,1100098,"127,0","288,0",127,288,125.78125
Guajará-Mirim,1100106,"131,0","156,0",131,156,18.93939394
Jaru,1100114,"86,0","425,0",86,425,389.6551724
Ji-Paraná,1100122,"194,0","671,0",194,671,244.6153846
Machadinho d'Oeste,1100130,"51,0","239,0",51,239,361.5384615
Nova Brasilândia d'Oeste,1100148,"16,0","62,0",16,62,270.5882353
Ouro Preto do Oeste,1100155,"32,0","230,0",32,230,600
Pimenta Bueno,1100189,"24,0","393,0",24,393,1476
Porto Velho,1100205,"392,0","2086,0",392,2086,431.043257
Presidente Médici,1100254,"26,0","97,0",26,97,262.962963
Rio Crespo,1100262,"11,0","18,0",11,18,58.33333333
Rolim de Moura,1100288,"35,0","274,0",35,274,663.8888889
Santa Luzia d'Oeste,1100296,"1,0","45,0",1,45,2200
Vilhena,1100304,"156,0","677,0",156,677,331.8471338
São Miguel do Guaporé,1100320,"29,0","92,0",29,92,210
Nova Mamoré,1100338,"13,0","101,0",13,101,628.5714286
Alvorada d'Oeste,1100346,"9,0","108,0",9,108,990
Alto Alegre dos Parecis,1100379,"8,0","51,0",8,51,477.7777778
Alto Paraíso,1100403,"33,0","80,0",33,80,138.2352941
Buritis,1100452,"40,0","267,0",40,267,553.6585366
Novo Horizonte do Oeste,1100502,"3,0","33,0",3,33,750
Cacaulândia,1100601,"25,0","33,0",25,33,30.76923077
Campo Novo de Rondônia,1100700,"18,0","57,0",18,57,205.2631579
Candeias do Jamari,1100809,"7,0","109,0",7,109,1275
Castanheiras,1100908,"1,0","19,0",1,19,900
Chupinguaia,1100924,"12,0","46,0",12,46,261.5384615
Cujubim,1100940,"3,0","53,0",3,53,1250
Governador Jorge Teixeira,1101005,"6,0","42,0",6,42,514.2857143
Itapuã do Oeste,1101104,"1,0","44,0",1,44,2150
Ministro Andreazza,1101203,"15,0","48,0",15,48,206.25
Mirante da Serra,1101302,"39,0","76,0",39,76,92.5
Monte Negro,1101401,"10,0","64,0",10,64,490.9090909
